name,when,index,currency,mcap,company,nickname
7011.T,2019-12-30,^N225,JPY=X,1.43E+12,Mitsubishi Hitachi Power Systems,Mitsubishi (42)
1608.HK,2020-04-22,^HSI,HKD=X,7380000000,VPower Group,Vpower (2)
8002.T,2019-12-30,^N225,JPY=X,1.41E+12,Marubeni,Marubeni (14)
028260.KS,2019-12-30,^KSE,KRW=X,1.79E+13,Samsung C&T,Samsung (2)*
SIE.DE,2019-12-30,^GDAXI,EUR=X,65440000000,Siemens,Siemens (24)*
GE,2019-12-30,^NYA,USD,97520000000,General Electric,GE (24)
2727.HK,2019-12-30,^HSI,HKD=X,30390000000,Ansaldo Energia / Shanghai Electric,Ansaldo (2)
